id	net_time	start_time	end_time	op	wf_curr_app	userid	status	user_type	comments	appid	grID	internalfileid	clientid	log_id
2416	4.83000000	20230331130506	20230331130511	Caricamento Pagina	XXX	SSCAGNETTI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000002397
2611	4.83000000	20230331161340	20230331161344	GuaranteeRequestDetail.asp --> ShowForm-Send	#WF0100	SCHEMBARI		E	yyy	GuaranteeRequest	GR000000295183		CL000000013565	LT000000002592
8659	4.83000000	20230405155222	20230405155227	ClientsFunctions.asp --> Function ShowListCommission	yyy	LTGEMMA	GRPreverification	I	yyy	GuaranteeRequest	GR000000295187	9794FID	CL000000013564	LT000000008590
4751	4.82000000	20230403155909	20230403155914	Caricamento Pagina	XXX	FRINALDI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000004715
5246	4.82000000	20230404085210	20230404085215	ClientsFunctions.asp --> Function ShowListCommission	yyy	GVENCESLAI	GRDIRDISBURSEMENTCONFIRMATION	I	yyy	GuaranteeRequest	GR000000294857	9653FID	CL000000013369	LT000000005210
4278	4.82000000	20230403144109	20230403144114	GuaranteeRequestDetail.asp --> ShowForm-Send	#WF0100	SCHEMBARI		E	yyy	GuaranteeRequest	GR000000295211		CL000000013567	LT000000004245
12185	4.82000000	20230412152358	20230412152403	GuaranteeRequestDetail.asp --> ShowForm-Send	#WF0100	PACHINOPROMOZIONISERVIZI		E	yyy	GuaranteeRequest	GR000000295462		CL000000013573	LT000000012102
12469	4.82000000	20230412171008	20230412171012	ClientsFunctions.asp --> Sub PrintFID	yyy	FRINALDI	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295288	9791FID	CL000000013548	LT000000012386
9163	4.81000000	20230406123101	20230406123106	ClientsFunctions.asp --> Function ShowListCommission	yyy	MGUANDALINI	GRACCEPTANCESEG	I	yyy	GuaranteeRequest	GR000000295355	9757FID	CL000000013499	LT000000009092
7966	4.81000000	20230405112640	20230405112645	ClientsFunctions.asp --> Function ShowListCommission	yyy	MGUANDALINI	GRDISBURSEMENTSEG	I	yyy	GuaranteeRequest	GR000000295324	9767FID	CL000000013512	LT000000007903
6128	4.80000000	20230404155202	20230404155207	GuaranteeRequestDetail.asp --> Sub ShowForm	#WF0100	PDELLAVECCHIA		I	yyy	GuaranteeRequest	GR000000295258			LT000000006085
4302	4.80000000	20230403144315	20230403144320	Caricamento Pagina	XXX	LFINI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000004269
863	4.80000000	20230330133008	20230330133013	ClientsFunctions.asp --> Sub PrintFID	yyy	DDESIMONE	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295129	9790FID	CL000000013500	LT000000000856
